Menya Sumisu(Minato)	港区南青山2-2-15ウィン青山107号
Kitakata Shokudo(Minato)	港区新橋5-9-8永島ビル1F
LR	
Ramen GOTTSU(Nerima)	練馬区練馬1-29-16
Ramen Benten(Nerima)	練馬区旭町3-25-2
Ramen Kintoki(Nerima)	練馬区小竹町1-2-7
Koisaimen INOSHO(Nerima)	練馬区練馬1-6-18
Menshu Yamano(Nerima)	練馬区豊玉北5-23-11
Ramen Yuetsu Dokoro(Nerima)	練馬区貫井2-3-1
MendokoroInosho(Nerima)	練馬区石神井町3-25-21ライオンズプラザB1F
Ramen Mishima(Nerima)	練馬区桜台1丁目2-9
MASUDA(Nerima)	練馬区練馬1-2-2
Ramen Hagan SakuradaiHonten(Nerima)	練馬区桜台1-5-11
LR	
Ramen toybox(Arakawa)	荒川区東日暮里1-1-3
Ramen Nijubunnoichi(Arakawa)	荒川区東尾久2-19-10西脇ビル1F
Mensho Burari(Arakawa)	荒川区東日暮里5-52-5
Tanpopo Ramen (Arakawa)	荒川区荒川6-53-111F
Mendokoro Hattori(Arakawa)	荒川区西日暮里2丁目28-8
Ramen Sangokushi(Arakawa)	荒川区東日暮里6-10-1
Mendokoro Fujimatsu(Arakawa)	荒川区西尾久7-19-6ベルメゾンヤスダ104
LR	
MenyaItto(Katsushika)	葛飾区東新小岩1-4-17
Nonokura(Katsushika)	葛飾区亀有3-11-11マーベラス大協ビル1F
Ramen Torou(Katsushika)	葛飾区東新小岩1-1-1トラスト新小岩101
Kanamachi Seimen(Katsushika)	葛飾区金町6-2-1ヴィナシス金町1F
Ibuki(Katsushika)	葛飾区新小岩2-39-4矢作マンション1F
LR	
Nakiryu(Toshima)	豊島区南大塚2-34-4SKY南大塚1F
Mendokoro Shinohara(Toshima)	豊島区池袋3-1-4
KaneKitchen Noodles(Toshima)	豊島区南長崎5-26-15マチテラス2F
Ramen Hulu-lu(Toshima)	豊島区池袋2-60-7林ビル1F
Taishoken(Toshima)	豊島区東池袋1-32-2小泉ビル1F
KitaotsukaRamen (Toshima)	豊島区北大塚1-14-1
Shinagawa(Toshima)	豊島区西池袋4-19-14
Kuwabara(Toshima)	豊島区東池袋1-27-5関口ビル1F
Tanaka(Toshima)	豊島区東池袋2-19-2
MenyaGoto(Toshima)	豊島区駒込1-39-5鱗祥ビル地下1F
ToriNoAna(Toshima)	豊島区東池袋1-39-20慶太ビル1F
Ramen Nii(Toshima)	豊島区南大塚3-46-5中島ビル1F
LR	
Tanaka Shōten(Adachi)	足立区一ツ家2-14-6
Ramen Hiwamatanoboru(Adachi)	足立区綾瀬2-1-4
Ramen YouLee(Adachi)	足立区大谷田3-1-15亀有ダイヤモンドマンション
Ikki(Adachi)	足立区鹿浜8-4-5第12まさひろ商事ビル105号
Matador Gyukotsu Ramen(Adachi)	足立区千住東2-4-17中村ビル1F
Men-ya Oto(Adachi)	足立区千住3-60
